"codigo_muni","Provincia","Municipio","RMEs","RMEs_IC95_inf","RMEs_IC95_sup","Probs","Rank"
"03137","Alicante/Alacant","Vall de Laguar, la",128.017056530214,114.5625,142.1375,1,37
"03138","Alicante/Alacant","Verger, el",118.085964912281,109.3,127.2125,1,207
"03139","Alicante/Alacant","Villajoyosa/Vila Joiosa, la",109.358869395712,105.7,113.2,1,624
"03140","Alicante/Alacant","Villena",104.104902534113,100.9,107.4375,0.989278752436647,1083
"03901","Alicante/Alacant","Poblets, els",76.5393372319688,68.62625,84.0075,0,6219
"03902","Alicante/Alacant","Pilar de la Horadada",74.5703118908382,70.64,78.275,0,6589
"04001","Almería","Abla",83.4921832358674,74.075,93.93,0,4692
"04002","Almería","Abrucena",89.2937426900585,79.2925,99.46125,0.0175438596491228,3445
"04003","Almería","Adra",124.788304093567,120.1,129.8,1,62
"04004","Almería","Albánchez",94.3222514619883,81.88,108.3,0.192982456140351,2518
"04005","Almería","Alboloduy",95.7919493177388,83.52875,108.7375,0.256335282651072,2264
"04006","Almería","Albox",94.0472807017544,88.9925,99.11875,0.0146198830409357,2565
"04007","Almería","Alcolea",92.9923586744639,80.75875,105.6,0.123781676413255,2749
"04008","Almería","Alcóntar",82.5217641325536,69.52,95.92625,0.00779727095516569,4891
"04009","Almería","Alcudia de Monteagud",84.3394346978558,68.01,102.7625,0.0399610136452242,4513
"04010","Almería","Alhabia",117.25992202729,100.2625,136.05,0.976608187134503,236
"04011","Almería","Alhama de Almería",124.90253411306,114.5625,135.6,1,60
"04012","Almería","Alicún",106.122105263158,85.72875,129.4875,0.689083820662768,893
"04013","Almería","Almería",113.951559454191,112.2,115.6,1,375
"04014","Almería","Almócita",102.096306042885,82.48375,123.6,0.565302144249513,1323
"04015","Almería","Alsodux",99.9594541910331,82.41625,118.8125,0.474658869395712,1611
"04016","Almería","Antas",104.804493177388,95.91875,114.7375,0.813840155945419,994
"04017","Almería","Arboleas",66.1533040935673,59.7425,72.97625,0,7695
